Nro_Pedido,Fecha_Venta,Producto,Precio_Unitario,Cantidad_toneladas,Total_Venta,País,Cliente,Tipo_Cliente,Moneda,Incoterm,Medio_Transporte
10159,2024-10-10,Harina panadera especial Don Angelo (50 kg),64.41,6,7729.2,Perú,Panadería San José,Nacional,PEN,,Terrestre
10168,2024-10-28,Harina panadera especial Don Angelo (50 kg),64.41,12,15458.4,Perú,Panadería San José,Nacional,PEN,,Terrestre
10180,2024-11-11,Harina panadera especial Don Angelo (50 kg),64.41,8,10305.6,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10188,2024-11-18,Harina panadera especial Don Angelo (50 kg),64.41,6,7729.2,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10201,2024-12-01,Harina panadera especial Don Angelo (50 kg),64.41,10,12882.0,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10210,2024-01-12,Harina panadera especial Don Angelo (50 kg),64.41,10,12882.0,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10223,2024-02-20,Harina panadera especial Don Angelo (50 kg),64.41,14,18034.8,Colombia,Pastelería Antioqueña,Exportación,USD,DAP,Aéreo
10236,2024-04-03,Harina panadera especial Don Angelo (50 kg),64.41,8,10305.6,Panamá,Panadería Panamá Viejo,Exportación,USD,DAP,Aéreo
10251,2024-05-18,Harina panadera especial Don Angelo (50 kg),64.41,10,12882.0,Guatemala,Supermercado Quetzal,Exportación,USD,DAP,Marítimo
10263,2024-06-28,Harina panadera especial Don Angelo (50 kg),64.41,6,7729.2,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10275,2024-07-23,Harina panadera especial Don Angelo (50 kg),64.41,14,18034.8,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10285,2024-08-27,Harina panadera especial Don Angelo (50 kg),64.41,6,7729.2,Chile,Supermercado Mapocho,Exportación,USD,DAP,Aéreo
10298,2024-09-27,Harina panadera especial Don Angelo (50 kg),64.41,14,18034.8,Cuba,Bodega Habana Centro,Exportación,USD,FOB,Aéreo
10308,2024-10-15,Harina panadera especial Don Angelo (50 kg),64.41,8,10305.6,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10318,2024-11-02,Harina panadera especial Don Angelo (50 kg),64.41,12,15458.4,Perú,Panadería San José,Nacional,PEN,,Terrestre
10329,2024-11-15,Harina panadera especial Don Angelo (50 kg),64.41,11,14170.2,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10339,2024-11-23,Harina panadera especial Don Angelo (50 kg),64.41,13,16746.6,Guatemala,Supermercado Quetzal,Exportación,USD,CIF,Aéreo
10361,2024-12-17,Harina panadera especial Don Angelo (50 kg),64.41,12,15458.4,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10374,2024-02-02,Harina panadera especial Don Angelo (50 kg),64.41,9,11593.8,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10388,2024-03-03,Harina panadera especial Don Angelo (50 kg),64.41,6,7729.2,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10402,2024-04-07,Harina panadera especial Don Angelo (50 kg),64.41,9,11593.8,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10417,2024-05-13,Harina panadera especial Don Angelo (50 kg),64.41,12,15458.4,Cuba,Panadería El Malecón,Exportación,USD,FOB,Aéreo
10107,2024-02-24,Harina panadera especial Doña Angélica (50 kg),63.69,14,17833.2,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10120,2024-04-29,Harina panadera especial Doña Angélica (50 kg),63.69,13,16559.4,El Salvador,Panadería Cuscatlán,Exportación,USD,CIF,Marítimo
10134,2024-07-01,Harina panadera especial Doña Angélica (50 kg),63.69,13,16559.4,Panamá,Canal Market,Exportación,USD,DAP,Aéreo
10145,2024-08-25,Harina panadera especial Doña Angélica (50 kg),63.69,5,6369.0,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10159,2024-10-10,Harina panadera especial Doña Angélica (50 kg),63.69,13,16559.4,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10168,2024-10-28,Harina panadera especial Doña Angélica (50 kg),63.69,11,14011.8,Perú,Panadería San José,Nacional,PEN,,Terrestre
10180,2024-11-11,Harina panadera especial Doña Angélica (50 kg),63.69,13,16559.4,Cuba,Bodega Habana Centro,Exportación,USD,DAP,Aéreo
10188,2024-11-18,Harina panadera especial Doña Angélica (50 kg),63.69,12,15285.6,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10201,2024-12-01,Harina panadera especial Doña Angélica (50 kg),63.69,5,6369.0,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10210,2024-01-12,Harina panadera especial Doña Angélica (50 kg),63.69,12,15285.6,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10223,2024-02-20,Harina panadera especial Doña Angélica (50 kg),63.69,12,15285.6,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10237,2024-04-05,Harina panadera especial Doña Angélica (50 kg),63.69,15,19107.0,Guatemala,Supermercado Quetzal,Exportación,USD,CIF,Marítimo
10251,2024-05-18,Harina panadera especial Doña Angélica (50 kg),63.69,7,8916.6,Venezuela,Supermercado Orinoco,Exportación,USD,FOB,Aéreo
10263,2024-06-28,Harina panadera especial Doña Angélica (50 kg),63.69,5,6369.0,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10275,2024-07-23,Harina panadera especial Doña Angélica (50 kg),63.69,12,15285.6,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10285,2024-08-27,Harina panadera especial Doña Angélica (50 kg),63.69,7,8916.6,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10299,2024-09-30,Harina panadera especial Doña Angélica (50 kg),63.69,7,8916.6,Colombia,Pastelería Antioqueña,Exportación,USD,CIF,Marítimo
10308,2024-10-15,Harina panadera especial Doña Angélica (50 kg),63.69,5,6369.0,Colombia,Pastelería Antioqueña,Exportación,USD,FOB,Marítimo
10318,2024-11-02,Harina panadera especial Doña Angélica (50 kg),63.69,15,19107.0,EEUU,Andes Bakery LA,Exportación,USD,DAP,Marítimo
10329,2024-11-15,Harina panadera especial Doña Angélica (50 kg),63.69,9,11464.2,Colombia,Panadería La Candelaria,Exportación,USD,DAP,Marítimo
10339,2024-11-23,Harina panadera especial Doña Angélica (50 kg),63.69,14,17833.2,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10362,2024-01-05,Harina panadera especial Doña Angélica (50 kg),63.69,11,14011.8,Venezuela,Supermercado Orinoco,Exportación,USD,CIF,Marítimo
10374,2024-02-02,Harina panadera especial Doña Angélica (50 kg),63.69,14,17833.2,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10388,2024-03-03,Harina panadera especial Doña Angélica (50 kg),63.69,13,16559.4,Cuba,Panadería El Malecón,Exportación,USD,DAP,Aéreo
10403,2024-04-08,Harina panadera especial Doña Angélica (50 kg),63.69,11,14011.8,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10417,2024-05-13,Harina panadera especial Doña Angélica (50 kg),63.69,13,16559.4,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10105,2024-02-11,Harina panadera especial Doña Angélica (10 kg),63.52,12,15244.8,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10119,2024-04-28,Harina panadera especial Doña Angélica (10 kg),63.52,6,7622.4,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10129,2024-06-12,Harina panadera especial Doña Angélica (10 kg),63.52,5,6352.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10143,2024-08-10,Harina panadera especial Doña Angélica (10 kg),63.52,11,13974.4,Cuba,Panadería El Malecón,Exportación,USD,DAP,Marítimo
10155,2024-10-06,Harina panadera especial Doña Angélica (10 kg),63.52,11,13974.4,Panamá,Panadería Panamá Viejo,Exportación,USD,FOB,Aéreo
10167,2024-10-23,Harina panadera especial Doña Angélica (10 kg),63.52,12,15244.8,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10178,2024-11-08,Harina panadera especial Doña Angélica (10 kg),63.52,9,11433.6,EEUU,Andes Bakery LA,Exportación,USD,FOB,Marítimo
10186,2024-11-14,Harina panadera especial Doña Angélica (10 kg),63.52,7,8892.8,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10197,2024-11-26,Harina panadera especial Doña Angélica (10 kg),63.52,12,15244.8,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10209,2024-01-09,Harina panadera especial Doña Angélica (10 kg),63.52,10,12704.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10222,2024-02-19,Harina panadera especial Doña Angélica (10 kg),63.52,15,19056.0,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10248,2024-05-07,Harina panadera especial Doña Angélica (10 kg),63.52,7,8892.8,Cuba,Bodega Habana Centro,Exportación,USD,CIF,Marítimo
10261,2024-06-17,Harina panadera especial Doña Angélica (10 kg),63.52,5,6352.0,Perú,Panadería San José,Nacional,PEN,,Terrestre
10273,2024-07-21,Harina panadera especial Doña Angélica (10 kg),63.52,7,8892.8,EEUU,Latin Market Miami,Exportación,USD,DAP,Aéreo
10283,2024-08-20,Harina panadera especial Doña Angélica (10 kg),63.52,9,11433.6,Chile,Pastelería Don Pedro,Exportación,USD,DAP,Aéreo
10295,2024-09-10,Harina panadera especial Doña Angélica (10 kg),63.52,7,8892.8,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10307,2024-10-14,Harina panadera especial Doña Angélica (10 kg),63.52,5,6352.0,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10316,2024-11-01,Harina panadera especial Doña Angélica (10 kg),63.52,9,11433.6,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10325,2024-11-05,Harina panadera especial Doña Angélica (10 kg),63.52,14,17785.6,Venezuela,Supermercado Orinoco,Exportación,USD,CIF,Marítimo
10337,2024-11-21,Harina panadera especial Doña Angélica (10 kg),63.52,11,13974.4,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10350,2024-12-02,Harina panadera especial Doña Angélica (10 kg),63.52,11,13974.4,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10359,2024-12-15,Harina panadera especial Doña Angélica (10 kg),63.52,15,19056.0,Perú,Panadería San José,Nacional,PEN,,Terrestre
10373,2024-01-31,Harina panadera especial Doña Angélica (10 kg),63.52,13,16515.2,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10384,2024-02-23,Harina panadera especial Doña Angélica (10 kg),63.52,14,17785.6,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10395,2024-03-17,Harina panadera especial Doña Angélica (10 kg),63.52,14,17785.6,Venezuela,Supermercado Orinoco,Exportación,USD,FOB,Aéreo
10400,2024-04-01,Harina panadera especial Doña Angélica (10 kg),63.52,7,8892.8,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10414,2024-05-06,Harina panadera especial Doña Angélica (10 kg),63.52,11,13974.4,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10103,2024-01-29,Harina panadera especial GN (50 kg),76.24,5,7624.0,Panamá,Panadería Panamá Viejo,Exportación,USD,DAP,Aéreo
10114,2024-04-01,Harina panadera especial GN (50 kg),76.24,8,12198.4,Cuba,Bodega Habana Centro,Exportación,USD,FOB,Aéreo
10126,2024-05-28,Harina panadera especial GN (50 kg),76.24,8,12198.4,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10140,2024-07-24,Harina panadera especial GN (50 kg),76.24,9,13723.2,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10150,2024-09-19,Harina panadera especial GN (50 kg),76.24,11,16772.8,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10164,2024-10-21,Harina panadera especial GN (50 kg),76.24,11,16772.8,Perú,Panadería San José,Nacional,PEN,,Terrestre
10175,2024-11-06,Harina panadera especial GN (50 kg),76.24,15,22872.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10183,2024-11-13,Harina panadera especial GN (50 kg),76.24,8,12198.4,EEUU,Pantry Houston LLC,Exportación,USD,DAP,Marítimo
10194,2024-11-25,Harina panadera especial GN (50 kg),76.24,11,16772.8,Colombia,Pastelería Antioqueña,Exportación,USD,CIF,Aéreo
10207,2024-12-09,Harina panadera especial GN (50 kg),76.24,15,22872.0,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10217,2024-02-04,Harina panadera especial GN (50 kg),76.24,7,10673.6,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10229,2024-03-11,Harina panadera especial GN (50 kg),76.24,10,15248.0,Colombia,Pastelería Antioqueña,Exportación,USD,DAP,Marítimo
10245,2024-05-04,Harina panadera especial GN (50 kg),76.24,6,9148.8,Perú,Panadería San José,Nacional,PEN,,Terrestre
10259,2024-06-15,Harina panadera especial GN (50 kg),76.24,14,21347.2,Panamá,Panadería Panamá Viejo,Exportación,USD,DAP,Aéreo
10270,2024-07-19,Harina panadera especial GN (50 kg),76.24,13,19822.4,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10281,2024-08-19,Harina panadera especial GN (50 kg),76.24,9,13723.2,Colombia,Pastelería Antioqueña,Exportación,USD,CIF,Marítimo
10291,2024-09-08,Harina panadera especial GN (50 kg),76.24,10,15248.0,Chile,Pastelería Don Pedro,Exportación,USD,DAP,Marítimo
10305,2024-10-13,Harina panadera especial GN (50 kg),76.24,8,12198.4,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10313,2024-10-22,Harina panadera especial GN (50 kg),76.24,15,22872.0,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10322,2024-11-04,Harina panadera especial GN (50 kg),76.24,14,21347.2,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10334,2024-11-19,Harina panadera especial GN (50 kg),76.24,11,16772.8,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10347,2024-11-29,Harina panadera especial GN (50 kg),76.24,13,19822.4,Perú,Bodega Santa Rosa,Nacional,PEN,,Terrestre
10357,2024-12-10,Harina panadera especial GN (50 kg),76.24,11,16772.8,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10370,2024-01-20,Harina panadera especial GN (50 kg),76.24,5,7624.0,Venezuela,Supermercado Orinoco,Exportación,USD,DAP,Aéreo
10381,2024-02-17,Harina panadera especial GN (50 kg),76.24,5,7624.0,Perú,Pastelería Dulce Hogar,Nacional,PEN,,Terrestre
10391,2024-03-09,Harina panadera especial GN (50 kg),76.24,13,19822.4,Perú,Minimarket Don Lucho,Nacional,PEN,,Terrestre
10411,2024-05-01,Harina panadera especial GN (50 kg),76.24,15,22872.0,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10425,2024-05-31,Harina panadera especial GN (50 kg),76.24,13,19822.4,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10108,2024-03-03,Harina panadera integral (25 kg),78.47,8,12555.2,El Salvador,Panadería Cuscatlán,Exportación,USD,DAP,Aéreo
10122,2024-05-08,Harina panadera integral (25 kg),78.47,13,20402.2,Chile,Pastelería Don Pedro,Exportación,USD,CIF,Marítimo
10135,2024-07-02,Harina panadera integral (25 kg),78.47,7,10985.8,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10147,2024-09-05,Harina panadera integral (25 kg),78.47,11,17263.4,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10159,2024-10-10,Harina panadera integral (25 kg),78.47,10,15694.0,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10169,2024-11-04,Harina panadera integral (25 kg),78.47,12,18832.8,Cuba,Panadería El Malecón,Exportación,USD,FOB,Aéreo
10181,2024-11-12,Harina panadera integral (25 kg),78.47,15,23541.0,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10191,2024-11-20,Harina panadera integral (25 kg),78.47,13,20402.2,Venezuela,Supermercado Orinoco,Exportación,USD,CIF,Marítimo
10203,2024-12-02,Harina panadera integral (25 kg),78.47,9,14124.6,El Salvador,Mercado Centro,Exportación,USD,DAP,Marítimo
10211,2024-01-15,Harina panadera integral (25 kg),78.47,5,7847.0,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10225,2024-02-22,Harina panadera integral (25 kg),78.47,7,10985.8,EEUU,Andes Bakery LA,Exportación,USD,DAP,Aéreo
10238,2024-04-09,Harina panadera integral (25 kg),78.47,14,21971.6,Guatemala,Panadería Chapina,Exportación,USD,CIF,Marítimo
10253,2024-06-01,Harina panadera integral (25 kg),78.47,12,18832.8,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10266,2024-07-06,Harina panadera integral (25 kg),78.47,15,23541.0,Guatemala,Panadería Chapina,Exportación,USD,CIF,Aéreo
10276,2024-08-02,Harina panadera integral (25 kg),78.47,10,15694.0,Perú,Panadería San José,Nacional,PEN,,Terrestre
10287,2024-08-30,Harina panadera integral (25 kg),78.47,12,18832.8,Guatemala,Panadería Chapina,Exportación,USD,DAP,Marítimo
10300,2024-10-04,Harina panadera integral (25 kg),78.47,13,20402.2,El Salvador,Mercado Centro,Exportación,USD,FOB,Aéreo
10310,2024-10-16,Harina panadera integral (25 kg),78.47,8,12555.2,El Salvador,Mercado Centro,Exportación,USD,DAP,Aéreo
10320,2024-11-03,Harina panadera integral (25 kg),78.47,5,7847.0,Colombia,Panadería La Candelaria,Exportación,USD,DAP,Aéreo
10329,2024-11-15,Harina panadera integral (25 kg),78.47,5,7847.0,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10341,2024-11-24,Harina panadera integral (25 kg),78.47,14,21971.6,Panamá,Canal Market,Exportación,USD,CIF,Marítimo
10363,2024-01-06,Harina panadera integral (25 kg),78.47,8,12555.2,EEUU,Latin Market Miami,Exportación,USD,DAP,Marítimo
10375,2024-02-03,Harina panadera integral (25 kg),78.47,11,17263.4,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10389,2024-03-03,Harina panadera integral (25 kg),78.47,6,9416.4,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10419,2024-05-17,Harina panadera integral (25 kg),78.47,7,10985.8,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10105,2024-02-11,Harina panadera premium (50 kg),65.53,5,6553.0,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10117,2024-04-16,Harina panadera premium (50 kg),65.53,9,11795.4,Perú,Bodega Los Olivos,Nacional,PEN,,Terrestre
10127,2024-06-03,Harina panadera premium (50 kg),65.53,5,6553.0,Perú,Panificadora Andina,Nacional,PEN,,Terrestre
10142,2024-08-08,Harina panadera premium (50 kg),65.53,12,15727.2,Perú,Panadería El Trigal,Nacional,PEN,,Terrestre
10153,2024-09-28,Harina panadera premium (50 kg),65.53,5,6553.0,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10165,2024-10-22,Harina panadera premium (50 kg),65.53,15,19659.0,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
10176,2024-11-06,Harina panadera premium (50 kg),65.53,5,6553.0,Guatemala,Supermercado Quetzal,Exportación,USD,DAP,Marítimo
10185,2024-11-14,Harina panadera premium (50 kg),65.53,6,7863.6,Perú,Pastelería La Estrella,Nacional,PEN,,Terrestre
10196,2024-11-26,Harina panadera premium (50 kg),65.53,6,7863.6,Perú,Supermercado Mi Perú,Nacional,PEN,,Terrestre
10208,2024-01-02,Harina panadera premium (50 kg),65.53,10,13106.0,El Salvador,Mercado Centro,Exportación,USD,CIF,Aéreo
10220,2024-02-12,Harina panadera premium (50 kg),65.53,11,14416.6,Guatemala,Supermercado Quetzal,Exportación,USD,CIF,Aéreo
10231,2024-03-19,Harina panadera premium (50 kg),65.53,9,11795.4,Venezuela,Panadería El Ávila,Exportación,USD,FOB,Aéreo
10247,2024-05-05,Harina panadera premium (50 kg),65.53,5,6553.0,Perú,Supermercado El Sol,Nacional,PEN,,Terrestre
